NAME, STREET, CITY, STATE, ZIP, LATITUDE, LONGITUDE, DISTRICT, REPRESENTATIVE, SENATOR 1, SENATOR 2 
BLOSSOM COURT, 37 BLOSSOM ST, FITCHBURG, MA, 01420, 42.583132, -71.796000, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
BRAYTON HILL, 159 BARBOUR ST, NORTH ADAMS, MA, 01247, 42.696368, -73.156614, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
WOLLASTON MANOR, 91 Clay ST, QUINCY, MA, 02170, 42.265538, -71.015839, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
WEST END PLACE, 150 Staniford Street, BOSTON, MA, 02114, 42.364428, -71.064210, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
NORTHEAST APARTMENTS, 9 NORTHEAST ST, HOLYOKE, MA, 01040, 42.262840, -72.662496, MA-1, John Olver (D), Edward Kennedy (D), John Kerry (D) 
WAMSUTTA APARTMENTS, 172 STATE ST, NEW BEDFORD, MA, 02740, 41.647770, -70.930430, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
NEW ORCHARD HILL ESTATES, 165 SUTTON ST, OXFORD, MA, 01540, 42.111357, -71.835322, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
EASTBROOK APARTMENTS, 193 FERNBANK RD, SPRINGFIELD, MA, 01129, 42.139756, -72.490212, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
PINE GROVE APTS., 240 HIGH ST, TAUNTON, MA, 02780, 41.894834, -71.085207, MA-4, Barney Frank (D), Edward Kennedy (D), John Kerry (D) 
MEMORIAL DRIVE 808, 808-810 MEMORIAL DR, CAMBRIDGE, MA, 02139, 42.360709, -71.115860, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
CONCORD STREET ELDERLY, 1640 WASHINGTON STREET, BOSTON, MA, 02118, 42.337638, -71.074915, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
BROOKSIDE TERRACE, 11 VILLAGE DR, SOUTHBRIDGE, MA, 01550, 42.065962, -72.008642, MA-2, Richard Neal (D), Edward Kennedy (D), John Kerry (D) 
ROCKLAND PLACE, 30 MARTHA DR, ROCKLAND, MA, 02370, 42.118857, -70.913252, MA-10, William Delahunt (D), Edward Kennedy (D), John Kerry (D) 
MISSION TOWERS, 180 WATER ST, HAVERHILL, MA, 01830, 42.774691, -71.070496, MA-5, Nicola Tsongas (D), Edward Kennedy (D), John Kerry (D) 
PINE GROVE, 1 PINE GROVE DR, BROCKTON, MA, 02301, 42.100992, -71.058769, MA-9, Stephen Lynch (D), Edward Kennedy (D), John Kerry (D) 
SMITH HOUSE, 757 SHAWMUT AVE, BOSTON, MA, 02119, 42.332116, -71.084494, MA-8, Michael Capuano (D), Edward Kennedy (D), John Kerry (D) 
